arxiv_id,titulo,primeiro_autor,ano,data,fase,fase_nome,seguranca,confianca_fase,justificativa_fase,tipo,tipo_nome,agentico,foco,n_buscas_recuperado,categoria_arxiv,citacoes,fwci,cit_2024,cit_2025,cit_2026,ritmo_anual_2026,aceleracao,crescimento,pct_cit_2026,momentum,oa_match,url,doi_arxiv,topico_seguranca,topico_seguranca_nome
2308.1062,Large Language Models for Software Engineering: A Systematic Literature Review,Xinyi Hou,2023,2023-08-21T10:37:49Z,F7,Processo transversal & ciclo completo,ausente,media,"Revisão sistemática que abrange múltiplas fases (F1-F6) e suas interações com LLMs; não é aplicação específica em uma fase, mas meta-análise transversal de frameworks e estratégias de otimização do processo SE.",T1,Revisão sistemática (SLR),baixo,"LLMs em tarefas de engenharia de software: aplicações, métodos, avaliação",3,cs.SE,795.0,115.8212,130.0,411.0,247.0,415.5,4.5,1.01,0.311,platô,sim,https://arxiv.org/abs/2308.10620,https://doi.org/10.48550/arXiv.2308.10620,,
2307.07221,"Software Testing with Large Language Models: Survey, Landscape, and Vision",Junjie Wang,2023,2023-07-14T08:26:12Z,F4,Verificação & qualidade,ausente,alta,"Survey sobre uso de LLMs em tarefas de teste (test case preparation, program repair, análise de qualidade) — é fundamentalmente verificação e qualidade de software.",T3,Survey narrativo,baixo,"Uso de LLMs em testes de software, casos de teste e reparo de programas",3,cs.SE,430.0,196.7037,71.0,256.0,103.0,173.2,-82.8,0.68,0.24,desacelerando,sim,https://arxiv.org/abs/2307.07221,https://doi.org/10.48550/arXiv.2307.07221,,
2310.03533,Large Language Models for Software Engineering: Survey and Open Problems,Angela Fan,2023,2023-10-05T13:33:26Z,F7,Processo transversal & ciclo completo,ausente,media,"Survey transversal sobre LLMs aplicados a múltiplas fases do SE (coding, design, requirements, repair, refactoring, documentation, analytics), com foco em desafios técnicos e técnicas híbridas que orquestram abordagens; não se concentra em uma fase específica, mas na integração de LLMs como capacidade transversal.",T3,Survey narrativo,medio,LLMs em engenharia de software: aplicações transversais e desafios técnicos,2,cs.SE,386.0,206.4641,73.0,221.0,87.0,146.3,-74.7,0.66,0.225,desacelerando,sim,https://arxiv.org/abs/2310.03533,https://doi.org/10.48550/arXiv.2310.03533,,
2404.04834,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision and the Road Ahead",Junda He,2024,2024-04-07T07:05:40Z,F7,Processo transversal & ciclo completo,ausente,alta,"Revisão sistemática sobre integração de LLMs em sistemas multi-agentes para engenharia de software, mapeando aplicações transversais no SDLC e propondo agenda de pesquisa — framework agêntico multi-fase que não se restringe a uma única etapa.",T1,Revisão sistemática (SLR),alto,"Sistemas multi-agente LLM para engenharia de software, ciclo de vida completo",2,cs.SE,154.0,291.7191,,61.0,93.0,156.4,95.4,2.56,0.604,acelerando,sim,https://arxiv.org/abs/2404.04834,https://doi.org/10.48550/arXiv.2404.04834,,
2303.17125,A Large-Scale Survey on the Usability of AI Programming Assistants: Successes and Challenges,Jenny T. Liang,2023,2023-03-30T03:21:53Z,F4,Verificação & qualidade,ausente,alta,"Pesquisa empírica sobre usabilidade e qualidade de sugestões de assistentes de IA na programação, focando em aceitação de código, requisitos funcionais/não-funcionais e controle do desenvolvedor — aspectos de verificação e qualidade.",T6,Survey com praticantes + revisão,medio,Usabilidade de assistentes de programação com IA para desenvolvedores,1,cs.SE,143.0,73.8326,29.0,78.0,35.0,58.9,-19.1,0.75,0.245,desacelerando,sim,https://arxiv.org/abs/2303.17125,https://doi.org/10.48550/arXiv.2303.17125,,
2307.02503,Natural Language Generation and Understanding of Big Code for AI-Assisted Programming: A Review,Man Fai Wong,2023,2023-07-04T21:26:51Z,F3,Implementação & geração de código,ausente,alta,"Revisão sistemática de técnicas NLP e LLMs aplicadas a tarefas de geração, completação, tradução, refinamento e sumarização de código — todas operações de implementação e transformação de código, não descoberta, planejamento ou documentação mantida.",T3,Survey narrativo,medio,Geração e compleção de código com LLMs baseados em Big Code,1,cs.SE,123.0,53.6891,42.0,54.0,23.0,38.7,-15.3,0.72,0.187,desacelerando,sim,https://arxiv.org/abs/2307.02503,https://doi.org/10.48550/arXiv.2307.02503,,
2406.00515,A Survey on Large Language Models for Code Generation,Juyong Jiang,2024,2024-06-01T17:48:15Z,F3,Implementação & geração de código,ausente,alta,"Survey focado em técnicas e avanços de LLMs especificamente para geração de código a partir de linguagem natural, cobrindo data curation, avaliação de performance e taxonomy de métodos de implementação.",T3,Survey narrativo,baixo,"Geração de código com LLMs: dados, desempenho, aplicações",6,cs.CL,107.0,33.7035,,35.0,72.0,121.1,86.1,3.46,0.673,acelerando,sim,https://arxiv.org/abs/2406.00515,https://doi.org/10.48550/arXiv.2406.00515,,
2401.10034,Evolutionary Computation in the Era of Large Language Model: Survey and Roadmap,Xingyu Wu,2024,2024-01-18T14:58:17Z,F3,Implementação & geração de código,ausente,alta,"Obra é survey sobre técnicas de geração e otimização de código/soluções via integração LLM-EA, focando metodologias e algoritmos aplicáveis a tarefas de engenharia de software, não em gestão transversal.",T3,Survey narrativo,medio,Sinergia entre algoritmos evolutivos e LLMs para geração de código,2,cs.NE,101.0,24.1333,17.0,47.0,37.0,62.2,15.2,1.32,0.366,crescendo,sim,https://arxiv.org/abs/2401.10034,https://doi.org/10.48550/arXiv.2401.10034,,
2404.02525,Large Language Model for Vulnerability Detection and Repair: Literature Review and the Road Ahead,Xin Zhou,2024,2024-04-03T07:27:33Z,F4,Verificação & qualidade,central,alta,"O trabalho é uma revisão sistemática sobre técnicas de LLMs para detecção e reparo de vulnerabilidades, categoriza abordagens e sintetiza conhecimento para melhorar qualidade e segurança de software, caracterizando verificação e qualidade.",T1,Revisão sistemática (SLR),medio,LLMs para detecção e reparo de vulnerabilidades em software,1,cs.SE,101.0,24.2119,1.0,50.0,50.0,84.1,34.1,1.68,0.495,acelerando,sim,https://arxiv.org/abs/2404.02525,https://doi.org/10.48550/arXiv.2404.02525,S1,Detecção de vulnerabilidade em código
2405.0476,Large Language Models for Cyber Security: A Systematic Literature Review,Hanxiang Xu,2024,2024-05-08T02:09:17Z,F4,Verificação & qualidade,central,alta,"Revisão sistemática sobre aplicação de LLMs em tarefas de cibersegurança (detecção de vulnerabilidades, análise de malware, detecção de intrusão), focando em verificação, qualidade e segurança — núcleo de F4.",T1,Revisão sistemática (SLR),medio,"LLMs para detecção vulnerabilidades, análise malware, agentes autônomos segurança",1,cs.CR,94.0,12.4298,,32.0,62.0,104.3,72.3,3.26,0.66,acelerando,sim,https://arxiv.org/abs/2405.04760,https://doi.org/10.48550/arXiv.2405.04760,S9,Benchmark e avaliação de segurança
