sede,tipo_trilha,arxiv_id,titulo,primeiro_autor,ano,fase,fase_nome,seguranca,confianca_fase,justificativa_fase,contrib,contrib_nome,agentico,foco,citacoes,fwci,cit_2024,cit_2025,cit_2026,ritmo_anual_2026,aceleracao,crescimento,pct_cit_2026,momentum,oa_match,nota_arxiv,url,doi_arxiv,topico_seguranca,topico_seguranca_nome
ASE,aceito,2310.06913,A Comparative Study of Transformer-based Neural Text Representation Techniques on Bug Triaging,Atish Kumar Dipongkor,2023,F10,"Planejamento, gestão de projeto e releases",ausente,revisado,"Estudo compara técnicas BERT para atribuir bugs a desenvolvedores, tarefa de triagem F10.",C3,Estudo empírico,baixo,Triagem automática de bugs com representações textuais transformer,11.0,3.5531,2.0,6.0,3.0,5.042,-0.958,0.84,0.273,platô,sim,"12 pages, to appear in the Proceedings of 38th IEEE/ACM International Conference on Automated Software Engineering (ASE'23)",https://arxiv.org/abs/2310.06913,https://doi.org/10.48550/arXiv.2310.06913,,
ASE,aceito,2506.18824,Understanding Software Engineering Agents: A Study of Thought-Action-Result Trajectories,Islem Bouzenia,2025,F7,Processo transversal & ciclo completo,ausente,alta,"Estudo de framework multi-agente que avalia comportamento de sistemas de IA em tarefas de software engineering, com foco em orquestração, memória de contexto e dinâmica operacional de agentes.",C3,Estudo empírico,alto,Análise empírica de trajetórias de agentes LLM em reparo de programas,4.0,7.6096,,,4.0,6.7,,,1.0,sem dado,sim,ACCEPTED FOR ASE 2025,https://arxiv.org/abs/2506.18824,https://doi.org/10.48550/arXiv.2506.18824,,
ASE,workshop/track,2510.03463,ALMAS: an Autonomous LLM-based Multi-Agent Software Engineering Framework,Vali Tawosi,2025,F7,Processo transversal & ciclo completo,ausente,alta,"Framework multi-agente que orquestra várias fases do SDLC (implementação, teste, manutenção) com visão transversal de colaboração humano-IA e governança de equipe.",C5,Visão/posição/roadmap,alto,Visão de framework multi-agente para engenharia de software end-to-end,4.0,6.6921,,2.0,2.0,3.4,1.4,1.68,0.5,platô,sim,Accepted to MAS-GAIN Workshop at ASE 2025,https://arxiv.org/abs/2510.03463,https://doi.org/10.48550/arXiv.2510.03463,,
ASE,aceito,2506.12347,Why AI Agents Still Need You: Findings from Developer-Agent Collaborations in the Wild,Aayush Kumar,2025,F7,Processo transversal & ciclo completo,ausente,alta,"Estudo sobre colaboração humano-IA em desenvolvimento de software, avaliando como agentes e desenvolvedores interagem ao longo de múltiplas fases (requisitos, implementação, debug, teste), caracterizando um framework transversal que não se reduz a uma única fase.",C3,Estudo empírico,medio,Estudo empírico de colaboração humano-IA em desenvolvimento de software,3.0,5.7072,,,3.0,5.0,,,1.0,sem dado,sim,Accepted to ASE'25,https://arxiv.org/abs/2506.12347,https://doi.org/10.48550/arXiv.2506.12347,,
ASE,aceito,2606.24689,Automated Summarization of Software Documents: An LLM-based Multi-Agent Approach,Duc S. H. Nguyen,2026,F3,Implementação & geração de código,ausente,revisado,"Metagente produz sumários de documentação avaliados como qualidade de texto gerado, não base documental mantida.",C2,Ferramenta/sistema,alto,Sumarização multiagente de documentação de software com LLMs,2.0,18.461,0.0,0.0,2.0,3.361,3.361,,1.0,sem rastro,sim,Paper has been accepted for publication with the Automated Software Engineering journal,https://arxiv.org/abs/2606.24689,https://doi.org/10.48550/arXiv.2606.24689,,
ASE,workshop/track,2510.03469,Bridging LLM Planning Agents and Formal Methods: A Case Study in Plan Verification,Keshav Ramani,2025,F4,Verificação & qualidade,ausente,automatica,,C1,Técnica/abordagem,baixo,"verificação formal de planos via LLM, LTL e model checking",2.0,3.346,0.0,1.0,1.0,1.681,0.681,1.681,0.5,sem rastro,sim,Accepted to AgenticSE Workshop at ASE 2025,https://arxiv.org/abs/2510.03469,https://doi.org/10.48550/arXiv.2510.03469,,
ASE,aceito,2510.04143,Detecting Semantic Clones of Unseen Functionality,Konstantinos Kitsios,2025,F4,Verificação & qualidade,ausente,automatica,,C3,Estudo empírico,baixo,reavaliação de modelos na detecção de clones semânticos não vistos,2.0,3.8492,0.0,0.0,2.0,3.361,3.361,,1.0,sem rastro,sim,"13 pages, 3 figures, accepted for publication (to appear) in the 40th IEEE/ACM International Conference on Automated Software Engineering, ASE 2025",https://arxiv.org/abs/2510.04143,https://doi.org/10.48550/arXiv.2510.04143,,
ASE,aceito,2510.0548,Vul-R2: A Reasoning LLM for Automated Vulnerability Repair,Xin-Cheng Wen,2025,F5,Depuração & reparo,central,automatica,,C1,Técnica/abordagem,medio,reparo automatizado de vulnerabilidades com LLM de raciocínio,2.0,3.8492,0.0,0.0,2.0,3.361,3.361,,1.0,sem rastro,sim,"13 pages, 8 figures. This paper is accepted by ASE 2025",https://arxiv.org/abs/2510.05480,https://doi.org/10.48550/arXiv.2510.05480,S4,Reparo e mitigação de vulnerabilidade
ASE,workshop/track,2510.0861,Relative Positioning Based Code Chunking Method For Rich Context Retrieval In Repository Level Code Completion Task With Code Language Model,Imranur Rahman,2025,F3,Implementação & geração de código,ausente,automatica,,C1,Técnica/abordagem,baixo,chunking e recuperação de contexto para completação de código,2.0,3.8492,0.0,1.0,1.0,1.681,0.681,1.681,0.5,sem rastro,sim,Accepted to Context Collection Workshop co-located with ASE 2025,https://arxiv.org/abs/2510.08610,https://doi.org/10.48550/arXiv.2510.08610,,
ASE,aceito,2512.01356,LAURA: Enhancing Code Review Generation with Context-Enriched Retrieval-Augmented LLM,Yuxin Zhang,2025,F4,Verificação & qualidade,ausente,alta,Geração automática de comentários de revisão de código é uma atividade de verificação e qualidade para avaliar mudanças de código.,C2,Ferramenta/sistema,medio,Geração automática de comentários de revisão de código com LLMs,1.0,3.6916,,1.0,,,,,,sem dado,sim,"This arXiv submission is the author's accepted manuscript  2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE), IEEE, ",https://arxiv.org/abs/2512.01356,https://doi.org/10.48550/arXiv.2512.01356,,
