arxiv_id,titulo,primeiro_autor,n_autores,data,ano,fase,fase_nome,tipo,tipo_nome,agentico,foco,n_buscas_recuperado,citacoes_openalex,fwci_openalex,categoria_arxiv,url,doi_arxiv
2601.11655,Advances and Frontiers of LLM-based Issue Resolution in Software Engineering: A Comprehensive Survey,Caihua Li,12,2026-01-15T18:55:03Z,2026,F5,Depuração & reparo,T3,Survey narrativo,alto,Agentes de código autônomos para resolução de issues em engenharia de software,3,1.0,,cs.SE,https://arxiv.org/abs/2601.11655,https://doi.org/10.48550/arXiv.2601.11655
2601.20918,Infusion of Blockchain to Establish Trustworthiness in AI Supported Software Evolution: A Systematic Literature Review,Mohammad Naserameri,2,2026-01-28T18:36:50Z,2026,F6,"Manutenção, evolução & operação",T1,Revisão sistemática (SLR),medio,Confiabilidade em evolução de software apoiada por IA e blockchain,2,0.0,0.0,cs.SE,https://arxiv.org/abs/2601.20918,https://doi.org/10.48550/arXiv.2601.20918
2601.20879,"A Survey on Large Language Model Impact on Software Evolvability and Maintainability: the Good, the Bad, the Ugly, and the Remedy",Bruno Claudino Matias,6,2026-01-26T22:02:20Z,2026,F6,"Manutenção, evolução & operação",T1,Revisão sistemática (SLR),medio,Impacto de LLMs na manutenção e evolução de software,5,0.0,,cs.SE,https://arxiv.org/abs/2601.20879,https://doi.org/10.48550/arXiv.2601.20879
2605.13898,Bidirectional Empowerment of Metamorphic Testing and Large Language Models: A Systematic Survey,Zheng Zheng,5,2026-05-12T13:47:26Z,2026,F4,Verificação & qualidade,T1,Revisão sistemática (SLR),alto,Teste e verificação de LLMs usando metamorphic testing e agentes autônomos,1,0.0,,cs.SE,https://arxiv.org/abs/2605.13898,https://doi.org/10.48550/arXiv.2605.13898
2606.13175,The End of Code Review: Coding Agents Supersede Human Inspection,Martin Monperrus,1,2026-06-11T10:43:48Z,2026,F4,Verificação & qualidade,T3,Survey narrativo,alto,Agentes de IA substituindo revisão humana de código em qualidade,1,0.0,,cs.SE,https://arxiv.org/abs/2606.13175,https://doi.org/10.48550/arXiv.2606.13175
2605.26169,"ESBMC: A Survey of Its Evolution, Integration, and Future Directions in Formal Software Verification",Pierre Dantas,3,2026-05-25T00:18:27Z,2026,F4,Verificação & qualidade,T3,Survey narrativo,alto,"Evolução ESBMC: verificação formal, integração LLM e agentes autônomos",1,0.0,,cs.SE,https://arxiv.org/abs/2605.26169,https://doi.org/10.48550/arXiv.2605.26169
2607.05031,LLM-Based Test Oracles: Source-of-Authority Taxonomy -- A Systematic Literature Review,Ali Hassaan Mughal,2,2026-07-06T13:13:11Z,2026,F4,Verificação & qualidade,T1,Revisão sistemática (SLR),medio,Oráculos de teste baseados em LLM: taxonomia de fontes de autoridade,1,0.0,0.0,cs.SE,https://arxiv.org/abs/2607.05031,https://doi.org/10.48550/arXiv.2607.05031
2604.16404,On the Use of Commit Messages for Corrective Software Maintenance: A Systematic Mapping Study,Syful Islam,2,2026-03-31T14:16:43Z,2026,F5,Depuração & reparo,T2,Mapeamento sistemático,medio,Commit messages em manutenção corretiva com IA/ML e NLP,1,0.0,,cs.SE,https://arxiv.org/abs/2604.16404,https://doi.org/10.48550/arXiv.2604.16404
2608.01001,From AI Technical Debt to Agentic Technical Debt: A Systematic Mapping of Root Causes and Manifestations in Agentic AI Systems,Muhammad Tukur,8,2026-08-02T05:09:28Z,2026,F6,"Manutenção, evolução & operação",T2,Mapeamento sistemático,alto,"Manutenção e evolução de sistemas agenticos, dívida técnica em agentes autônomos",1,0.0,,cs.AI,https://arxiv.org/abs/2608.01001,https://doi.org/10.48550/arXiv.2608.01001
2603.16975,The State of Generative AI in Software Development: Insights from Literature and a Developer Survey,Vincent Gurgul,3,2026-03-17T12:59:59Z,2026,F3,Implementação & geração de código,T6,Survey com praticantes + revisão,medio,"GenAI em implementação, testes, documentação e governança no ciclo de vida",3,,,cs.SE,https://arxiv.org/abs/2603.16975,https://doi.org/10.48550/arXiv.2603.16975
