topico_seguranca,topico_seguranca_nome,seguranca,fase,fase_nome,corpus,sede,arxiv_id,titulo,ano,foco,citacoes,fwci,momentum,url
S1,Detecção de vulnerabilidade em código,central,F1,Requisitos & especificação,primario,ICSE,2606.21822,CNnotator: LLM-Guided Memory Safety Annotation Synthesis,2026,LLM com laço feedback para síntese automática de anotações segurança memória,0.0,,sem dado,https://arxiv.org/abs/2606.21822
S1,Detecção de vulnerabilidade em código,central,F4,Verificação & qualidade,secundario,,2404.02525,Large Language Model for Vulnerability Detection and Repair: Literature Review and the Road Ahead,2024,LLMs para detecção e reparo de vulnerabilidades em software,101.0,24.2119,acelerando,https://arxiv.org/abs/2404.02525
S1,Detecção de vulnerabilidade em código,secundaria,F4,Verificação e qualidade,secundario,,2502.18474,A Contemporary Survey of Large Language Model Assisted Program Analysis,2025,"LLMs em análise estática, dinâmica e híbrida de programas",16.0,20.6634,crescendo,https://arxiv.org/abs/2502.18474
S1,Detecção de vulnerabilidade em código,central,F4,Verificação e qualidade,secundario,,2306.11673,A Survey on Automated Software Vulnerability Detection Using Machine Learning and Deep Learning,2023,Survey sistemático de detecção automatizada de vulnerabilidade com ML e DL,9.0,,platô,https://arxiv.org/abs/2306.11673
S1,Detecção de vulnerabilidade em código,secundaria,F4,Verificação & qualidade,secundario,,2404.18496,AI-powered Code Review with LLMs: Early Results,2024,revisão de código com agente LLM para detectar bugs e code smells,6.0,,platô,https://arxiv.org/abs/2404.18496
S1,Detecção de vulnerabilidade em código,central,F4,Verificação e qualidade,primario,ICSME,2507.22371,SAEL: Leveraging Large Language Models with Adaptive Mixture-of-Experts for Smart Contract Vulnerability Detection,2025,Detecção de vulnerabilidade em contrato inteligente com mistura adaptativa de especialistas,5.0,9.5469,acelerando,https://arxiv.org/abs/2507.22371
S1,Detecção de vulnerabilidade em código,central,F4,Verificação & qualidade,secundario,,2507.22659,A Systematic Literature Review on Detecting Software Vulnerabilities with Large Language Models,2025,Detecção de vulnerabilidades de software usando LLMs,3.0,24.7586,sem dado,https://arxiv.org/abs/2507.22659
S1,Detecção de vulnerabilidade em código,secundaria,F4,Verificação & qualidade,primario,ICSME,2507.19115,Automated Code Review Using Large Language Models at Ericsson: An Experience Report,2025,Ferramenta LLM para automação de revisão de código com análise estática,3.0,5.7072,sem dado,https://arxiv.org/abs/2507.19115
S1,Detecção de vulnerabilidade em código,central,F4,Verificação e qualidade,secundario,,2412.11194,Direction for Detection: A Survey of Automated Vulnerability Detection and all of its Pain Points,2024,detecção automatizada de vulnerabilidades via machine learning,2.0,,sem rastro,https://arxiv.org/abs/2412.11194
S1,Detecção de vulnerabilidade em código,central,F4,Verificação e qualidade,secundario,,2604.00079,When Labels Are Scarce: A Systematic Mapping of Label-Efficient Code Vulnerability Detection,2026,Detecção de vulnerabilidades com dados rotulados escassos,0.0,,sem dado,https://arxiv.org/abs/2604.00079
S1,Detecção de vulnerabilidade em código,central,F4,Verificação & qualidade,primario,ASE,2601.19138,AgenticSCR: An Autonomous Agentic Secure Code Review for Immature Vulnerabilities Detection,2026,Revisão segura de código com agente autônomo e memória semântica,0.0,,sem dado,https://arxiv.org/abs/2601.19138
S1,Detecção de vulnerabilidade em código,secundaria,F4,Verificação & qualidade,primario,ASE,2512.1754,SGCR: A Specification-Grounded Framework for Trustworthy LLM Code Review,2025,Framework LLM para revisão de código com especificações e verificação,0.0,0.0,sem dado,https://arxiv.org/abs/2512.17540
S1,Detecção de vulnerabilidade em código,central,F4,Verificação & qualidade,primario,FSE,2511.04014,VulInstruct: Teaching LLMs Root-Cause Reasoning for Vulnerability Detection via Security Specifications,2025,detecção de vulnerabilidades via especificações de segurança extraídas,0.0,0.0,sem dado,https://arxiv.org/abs/2511.04014
S1,Detecção de vulnerabilidade em código,central,F4,Verificação & qualidade,primario,ICSE,2512.08326,Argus: A Multi-Agent Sensitive Information Leakage Detection Framework Based on Hierarchical Reference Relationships,2025,Detecção de vazamento de informações sensíveis em repositórios usando arquitetura multi-agente com LLMs,0.0,,sem dado,https://arxiv.org/abs/2512.08326
S1,Detecção de vulnerabilidade em código,central,F4,Verificação e qualidade,primario,ISSTA,2604.19031,SAGE: Signal-Amplified Guided Embeddings for LLM-based Vulnerability Detection,2026,Amplificação de sinal com autoencoders esparsos para detectar vulnerabilidade em código,0.0,,sem dado,https://arxiv.org/abs/2604.19031
S1,Detecção de vulnerabilidade em código,central,F4,Verificação e qualidade,secundario,,2604.24822,A systematic literature Review for Transformer-based Software Vulnerability detection,2026,Transformers para detecção de vulnerabilidades de software,,,sem dado,https://arxiv.org/abs/2604.24822
S1,Detecção de vulnerabilidade em código,central,F4,Verificação e qualidade,secundario,,2606.28403,Reinforcement Learning for Software Vulnerability Analysis: A Systematic Review with Emphasis on C/C++ Source Code and Static Analysis,2026,RL para detecção de vulnerabilidades e fuzzing em C/C++,,,sem dado,https://arxiv.org/abs/2606.28403
S1,Detecção de vulnerabilidade em código,central,F4,Verificação & qualidade,secundario,,2512.1194,A Systematic Mapping Study on Risks and Vulnerabilities in Software Containers,2025,"Segurança de containers: riscos, vulnerabilidades e práticas de mitigação",,,sem dado,https://arxiv.org/abs/2512.11940
S1,Detecção de vulnerabilidade em código,central,F4,Verificação e qualidade,secundario,,2503.04002,Deep Learning Aided Software Vulnerability Detection: A Survey,2025,Survey de detecção de vulnerabilidade com aprendizado profundo e ciclo de vida próprio,,,sem dado,https://arxiv.org/abs/2503.04002
S1,Detecção de vulnerabilidade em código,central,F4,Verificação & qualidade,primario,ASE,2511.01941,Detecting Vulnerabilities from Issue Reports for Internet-of-Things,2025,detecção de issues de vulnerabilidade em projetos IoT com ML/LLM,,,sem dado,https://arxiv.org/abs/2511.01941
S1,Detecção de vulnerabilidade em código,central,F4,Verificação & qualidade,primario,FSE,2602.12681,Fool Me If You Can: On the Robustness of Binary Code Similarity Detection Models against Semantics-preserving Transformations,2026,Robustez de modelos de aprendizado profundo para detecção de similaridade em código binário contra transformações adversariais,,,sem dado,https://arxiv.org/abs/2602.12681
S1,Detecção de vulnerabilidade em código,secundaria,F4,Verificação & qualidade,primario,ICSE,2605.17548,Rethinking Code Review in the Age of AI: A Vision for Agentic Code Review,2026,Visão para revisão de código com agentes autônomos supervisores,,,sem dado,https://arxiv.org/abs/2605.17548
S1,Detecção de vulnerabilidade em código,central,F4,Verificação & qualidade,primario,ICSE,2603.24837,Bridging Code Property Graphs and Language Models for Program Analysis,2026,MCP server integrando Joern CPG e LLMs para deteccao de vulnerabilidades,,,sem dado,https://arxiv.org/abs/2603.24837
S1,Detecção de vulnerabilidade em código,central,F5,Depuração & reparo,primario,FSE,2501.14983,"Code Change Intention, Development Artifact and History Vulnerability: Putting Them Together for Vulnerability Fix Detection by LLM",2025,Detecção de commits de correção de vulnerabilidades usando LLM,7.0,13.3733,acelerando,https://arxiv.org/abs/2501.14983
S10,Educação e prática humana,central,F3,Implementação e geração de código,primario,ICSE,2308.06587,A User-centered Security Evaluation of Copilot,2023,Estudo com 25 usuários sobre segurança do código escrito com Copilot,13.0,6.7917,crescendo,https://arxiv.org/abs/2308.06587
S10,Educação e prática humana,secundaria,F4,Verificação & qualidade,secundario,,2508.11034,The Impact of Large Language Models (LLMs) on Code Review Process,2025,Impacto do GPT no tempo e eficiência da revisão de pull requests,3.0,,acelerando,https://arxiv.org/abs/2508.11034
S10,Educação e prática humana,secundaria,F4,Verificação & qualidade,primario,TOSEM,2506.1712,Reassessing Code Authorship Attribution in the Era of Language Models,2025,Atribuicao de autoria de codigo usando LMs de codigo,1.0,8.9492,sem rastro,https://arxiv.org/abs/2506.17120
S10,Educação e prática humana,secundaria,F7,Processo transversal & ciclo completo,secundario,,2512.21347,Understanding the Role of Large Language Models in Software Engineering: Evidence from an Industry Survey,2025,Adoção de LLMs em desenvolvimento de software: percepções e riscos,,,sem dado,https://arxiv.org/abs/2512.21347
